model,quantile,education_coefficient,education_ci_low,education_ci_high,education_pct_premium,family_member_coefficient,year_coefficient,pseudo_r2
Quantile regression (25th percentile),0.25,0.10852453563286701,0.10472548985353328,0.11232358141220075,11.463225641066611,0.212036913336064,0.045682200785112315,0.4183555787356119
Quantile regression (50th percentile),0.5,0.12962960804190615,0.1262268367952046,0.1330323792886077,13.840664855819384,0.19999327596569572,0.04166235409859276,0.42828003254625924
Quantile regression (75th percentile),0.75,0.132505195389502,0.12879893780057602,0.136211452978428,14.168494757176763,0.19725338507245738,0.03657436299386285,0.38531555023839437
