region_label,n,median_usd,mean_usd
Seoul,14052,2883.6363636363635,3764.2639803813154
Gyeonggi,18918,2799.090909090909,3620.354202986847
S. Chungcheong,7599,2452.7272727272725,3498.1459735339577
S. Gyeongsang,15756,2174.090909090909,3184.9460932207703
Gangwon & N. Chungcheong,6683,2094.5454545454545,2878.333124753445
Jeolla & Jeju,15228,1783.1818181818182,2705.0349770601465
N. Gyeongsang,11699,1722.7272727272727,2609.5229038062307
