model,mae_usd,rmse_usd,r2
Random Forest,880.0734162360743,1249.1620744149232,0.6453360667672874
XGBoost,917.5370463466857,1283.970093701957,0.6252951951188674
Gradient Boosting,929.9098136077847,1299.7209041825292,0.6160455957235207
Elastic Net,1049.760912072539,1414.4174181704243,0.5452898616212016
Ridge,1049.8190381642617,1414.4712260448086,0.5452552644067095
Multivariable OLS,1049.8275959088048,1414.4920277407523,0.5452418890462147
Education-only OLS,1345.399113859251,1762.5569831701432,0.2939007035488749
