term,label,coefficient,std_error,p_value,ci_low,ci_high,pct_effect
education_level,Education step premium,0.11750289392613751,0.0017072855809538857,0.0,0.11415667567614335,0.12084911217613167,12.468488469400762
age_centered,"Age (centered, linear)",-0.014993239752714835,0.00019798317752539818,0.0,-0.015381279650209415,-0.014605199855220255,-1.4881400774111708
I(age_centered ** 2),Age squared (lifecycle),-0.0003765962490696391,8.789828775383974e-06,0.0,-0.0003938239968996655,-0.0003593685012396127,-0.03765253456031736
family_member,Household size,0.21822207152613446,0.0022929756036254054,0.0,0.21372792192559967,0.22271622112666925,24.38632635635416
year,Survey year trend,0.04368068516641439,0.0004948823409633565,0.0,0.042710733601541345,0.04465063673128744,4.46487297902487
