education_label,n,median_usd,mean_usd,p25,p75
No formal education (age 7+),9320,770.0,1004.2724141646509,548.1818181818181,1166.3636363636363
Elementary school,20395,1204.5454545454545,1668.621629056773,767.2727272727273,2020.909090909091
Middle school,12019,1923.6363636363637,2491.2578094587357,1129.090909090909,3255.4545454545455
High school,25935,3144.5454545454545,3790.162580198948,1857.2727272727273,4917.727272727272
College,5873,3939.090909090909,4480.059187420553,2556.3636363636365,5586.363636363636
University degree,13897,4531.818181818182,5402.184272508789,2778.181818181818,6867.272727272727
Master's degree,2217,5593.636363636364,6219.523808755895,3592.7272727272725,7905.454545454545
Doctorate,279,6639.090909090909,8246.679700228087,4632.272727272727,10698.181818181818
